name,category,status,source,note
Agrotalya Haşlanmış Tatlı Mısır,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Agrotalya Haşlanmış Pancar,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Aypop Meyve Aromalı Patlamış Mısır,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Burbella Hindistan Cevizli Bisküvi,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Burbella Susamlı Kraker,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Burbella Glutensiz Su Böreği,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Eti Pronot Bisküvi Çeşitleri,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,Zeytinli portakallı kakaolu sade kurabiyeler ve kakaolu mini kek
Fitcuit Karabuğday Gevreği,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Glutensiz Ada Susamlı Çubuk Kraker,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Gullon Damla Çikolatalı Kakaolu ve Sade Bisküvileri,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Naturpy Mısır Gevreği Corn Flakes,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Nustil Susamlı Çubuk Kraker,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Schar Tüm Ürünleri,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Ta!da! Karabuğdaylı Grissini,ATIŞTIRMALIK,uygun,Çölyakla Yaşam Derneği,
Aynes,AYRAN,uygun,Çölyakla Yaşam Derneği,
Bakraç,AYRAN,uygun,Çölyakla Yaşam Derneği,
Eker,AYRAN,uygun,Çölyakla Yaşam Derneği,
Pınar,AYRAN,uygun,Çölyakla Yaşam Derneği,
Sütaş,AYRAN,uygun,Çölyakla Yaşam Derneği,
Yörükoğlu,AYRAN,uygun,Çölyakla Yaşam Derneği,
Ambar Evim Badem Unu,BADEM UNU,uygun,Çölyakla Yaşam Derneği,
Güzel Gıda Badem Unu,BADEM UNU,uygun,Çölyakla Yaşam Derneği,
İngro Gıda Badem Unu,BADEM UNU,uygun,Çölyakla Yaşam Derneği,
Wefood Badem Unu,BADEM UNU,uygun,Çölyakla Yaşam Derneği,
Bağdat Baharat,BAHARATLAR,kosullu,Çölyakla Yaşam Derneği,Karışımlar köfte baharı ve köri dışındaki baharatlar
Anavarza Bal,BAL,uygun,Çölyakla Yaşam Derneği,
Balparmak,BAL,uygun,Çölyakla Yaşam Derneği,
Binboğa Balı,BAL,uygun,Çölyakla Yaşam Derneği,
